Model,TBS2104
Firmware Version,v1.26.0

Point Format,Y,,,
Horizontal Units,S,,,
Horizontal Scale,0.01,,,
Sample Interval,8e-06,,,
Filter Frequency,1e+08,,,
Record Length,20000,,,
Gating,0.0% to 100.0%,0.0% to 100.0%,0.0% to 100.0%,0.0% to 100.0%
Probe Attenuation,20,20,10,100
Vertical Units,V,V,A,V
Vertical Offset,0,0,0,0
Vertical Scale,20,20,5,50
Label,,,,
TIME,CH1,CH2,CH3,CH4
-7.9016e-02,10.2695,-0.132812,-10.0801,90.1953
-7.9008e-02,10.3828,-0.109375,-10.0645,90.1172
-7.9000e-02,10.7969,-0.121094,-10.0264,89.9609
-7.8992e-02,11.1484,-0.121094,-10.0469,90.2734
-7.8984e-02,10.8008,-0.417969,-10.1357,91.0156
-7.8976e-02,10.6094,-0.105469,-10.0264,89.1016
-7.8968e-02,10.5781,-0.128906,-10.0264,90.1172
-7.8960e-02,11.1211,-0.53125,-9.92578,90.8691
-7.8952e-02,11.125,-0.109375,-9.91797,90.3223
-7.8944e-02,11.1953,-0.121094,-10.1025,89.8437
-7.8936e-02,11.2109,-0.503906,-9.91895,90
-7.8928e-02,11.207,-0.125,-10,91.3281
-7.8920e-02,11.3281,-0.480469,-10.0547,89.1992
-7.8912e-02,11.8359,-0.121094,-9.96973,90.2734
-7.8904e-02,11.8477,-0.121094,-10.0908,89.8828
-7.8896e-02,11.4961,-0.382812,-10.1221,89.248
-7.8888e-02,11.9531,-0.121094,-9.95605,90
-7.8880e-02,12.0469,-0.460938,-9.96191,90.3711
-7.8872e-02,12.0938,-0.078125,-9.8418,90.0781
-7.8864e-02,11.7227,-0.128906,-10.0371,90.3516
-7.8856e-02,12.1523,-0.121094,-9.81836,90.1562
-7.8848e-02,12.2578,-0.121094,-9.90332,90.1172
-7.8840e-02,11.8984,-0.121094,-9.93066,90.2344
-7.8832e-02,12.3516,-0.136719,-9.80957,91.0254
-7.8824e-02,12.7656,-0.136719,-9.92285,89.0723
-7.8816e-02,12.3945,-0.121094,-9.88184,90.3125
-7.8808e-02,12.8672,-0.046875,-9.87402,90.1953
-7.8800e-02,12.9531,-0.109375,-9.87109,90.2734
-7.8792e-02,13.0312,-0.0625,-9.88477,90.0391
-7.8784e-02,13.1328,-0.125,-9.77637,90.3516
-7.8776e-02,13.5391,-0.121094,-9.78027,90.8008
-7.8768e-02,13.625,-0.5,-9.71875,90.2344
-7.8760e-02,13.2383,0,-9.74707,89.8828
-7.8752e-02,13.6992,-0.125,-9.6543,90.0391
-7.8744e-02,13.4023,-0.140625,-9.66602,89.1211
-7.8736e-02,13.9219,-0.121094,-9.61133,90.2344
-7.8728e-02,13.9688,-0.136719,-9.69238,90.1953
-7.8720e-02,14.0312,-0.136719,-9.70898,90.2734
-7.8712e-02,13.9531,-0.132812,-9.7002,90.0781
-7.8704e-02,13.7266,0,-9.87598,90.2734
-7.8696e-02,14.1367,-0.117188,-9.76465,90.1953
-7.8688e-02,14.1875,-0.132812,-9.67871,89.1504
-7.8680e-02,14.625,-0.078125,-9.66113,90.1562
-7.8672e-02,14.7539,-0.078125,-9.55176,90.2344
-7.8664e-02,14.4336,-0.105469,-9.6377,90.9277
-7.8656e-02,14.8516,-0.0625,-9.71777,90.9082
-7.8648e-02,14.9844,-0.109375,-9.63672,90.0781
-7.8640e-02,14.9531,-0.121094,-9.62793,90.2734
-7.8632e-02,15.1094,-0.1875,-9.4502,90.8496
-7.8624e-02,15.1211,-0.09375,-9.57813,90.1562
-7.8616e-02,15.1953,-0.472656,-9.50781,90.3223
-7.8608e-02,15.1562,-0.148438,-9.46387,90.2539
-7.8600e-02,15.1523,-0.152344,-9.39941,89.4336
-7.8592e-02,15.3359,-0.046875,-9.40723,90.1758
-7.8584e-02,15.3828,-0.128906,-9.29785,90.918
-7.8576e-02,15.4219,-0.121094,-9.43848,90.1953
-7.8568e-02,15.832,0.015625,-9.37695,89.1992
-7.8560e-02,15.9375,-0.015625,-9.50098,90.1172
-7.8552e-02,15.9219,-0.183594,-9.46191,90.3027
-7.8544e-02,16.1094,-0.121094,-9.33398,89.4043
-7.8536e-02,16.1094,-0.105469,-9.31348,89.7266
-7.8528e-02,16.1641,-0.125,-9.32715,90.2734
-7.8520e-02,16.2695,-0.09375,-9.4043,89.082
-7.8512e-02,16.6172,-0.472656,-9.38574,89.9609
-7.8504e-02,16.3555,-0.121094,-9.38184,89.7656
-7.8496e-02,16.7891,-0.132812,-9.35254,89.4336
-7.8488e-02,16.7773,-0.40625,-9.28125,90.0781
-7.8480e-02,16.8594,-0.136719,-9.34473,90.1172
-7.8472e-02,16.9688,-0.402344,-9.22266,89.9609
-7.8464e-02,16.9688,-0.09375,-9.32715,90.2734
-7.8456e-02,16.6484,-0.457031,-9.3418,90.2344
-7.8448e-02,17.0977,-0.078125,-9.19824,90.0781
-7.8440e-02,17.1406,-0.480469,-9.13086,90.3711
-7.8432e-02,17.5703,-0.144531,-9.0918,90.1172
-7.8424e-02,17.6367,-0.441406,-8.99805,90.2344
-7.8416e-02,17.2656,-0.09375,-9.20898,90.9473
-7.8408e-02,17.6875,-0.105469,-9.12793,90.2734
-7.8400e-02,17.7656,-0.140625,-9.06836,90.1953
-7.8392e-02,17.418,-0.136719,-9.0459,91.2109
-7.8384e-02,17.8594,-0.453125,-9.14355,89.1797
-7.8376e-02,17.9219,-0.410156,-9.14258,90.0781
-7.8368e-02,17.9844,-0.121094,-9.01563,90.1953
-7.8360e-02,17.6328,-0.441406,-9.03809,90
-7.8352e-02,18.125,-0.109375,-8.91602,90.2441
-7.8344e-02,18.1406,-0.121094,-9.09082,89.8828
-7.8336e-02,18.5898,-0.507812,-8.9082,90.0781
-7.8328e-02,18.6016,-0.453125,-8.95996,89.2773
-7.8320e-02,18.6758,-0.449219,-8.87598,90.9961
-7.8312e-02,18.6758,-0.105469,-8.95801,90.0391
-7.8304e-02,18.3555,-0.125,-8.85645,90.2734
-7.8296e-02,18.8203,-0.136719,-8.93359,90.4199
-7.8288e-02,18.5078,-0.078125,-8.93652,90.3125
-7.8280e-02,18.875,-0.136719,-8.90723,90.3516
-7.8272e-02,18.9062,-0.121094,-8.91309,90.1953
-7.8264e-02,18.6172,-0.105469,-8.86621,90.1953
-7.8256e-02,19.1094,-0.121094,-8.80273,90.2734
-7.8248e-02,19.1094,-0.449219,-8.8916,89.9219
-7.8240e-02,19.1211,-0.136719,-8.83398,89.0625
-7.8232e-02,19.1758,-0.0625,-8.75781,91.0254
-7.8224e-02,19.1211,0.296875,-8.72656,90.1172
-7.8216e-02,19.3945,-0.125,-8.61328,90.1953
-7.8208e-02,19.3242,-0.078125,-8.62305,90.1562
-7.8200e-02,19.7539,-0.359375,-8.83691,90.2734
-7.8192e-02,19.4102,-0.105469,-8.77637,90.8398
-7.8184e-02,19.5039,-0.128906,-8.68652,90.4297
-7.8176e-02,19.582,0,-8.67773,90.3711
-7.8168e-02,19.9375,-0.40625,-8.69629,90.1562
-7.8160e-02,20.0156,-0.046875,-8.58105,90
-7.8152e-02,20.1094,-0.03125,-8.62012,90.1562
-7.8144e-02,20.125,-0.417969,-8.62109,90.2344
-7.8136e-02,20.125,-0.105469,-8.61816,90.1562
-7.8128e-02,20.2383,-0.015625,-8.53418,90.0391
-7.8120e-02,20.2266,-0.09375,-8.41602,90
-7.8112e-02,20.6953,-0.09375,-8.51563,90.3125
-7.8104e-02,20.7578,-0.0625,-8.68652,88.8672
-7.8096e-02,20.7539,-0.140625,-8.38184,90.1562
-7.8088e-02,20.8281,-0.109375,-8.36035,89.1895
-7.8080e-02,20.8047,-0.0625,-8.43164,90.2344
-7.8072e-02,21,-0.109375,-8.45215,90.2734
-7.8064e-02,20.9531,-0.144531,-8.41699,90.2344
-7.8056e-02,20.9688,-0.03125,-8.51465,91.0254
-7.8048e-02,20.6875,-0.125,-8.50781,90.2344
-7.8040e-02,21.1484,-0.0898438,-8.42285,91.2207
-7.8032e-02,20.7969,-0.382812,-8.39844,90.1953
-7.8024e-02,21.2109,-0.078125,-8.29492,90.0391
-7.8016e-02,21.793,-0.460938,-8.46387,90.0391
-7.8008e-02,21.6758,-0.105469,-8.17578,90.1562
-7.8000e-02,21.3789,-0.390625,-8.1416,90.2441
-7.7992e-02,21.418,-0.078125,-8.1582,90.2344
-7.7984e-02,21.8398,0.03125,-8.3291,90.2734
-7.7976e-02,21.5273,-0.09375,-8.32617,90.3516
-7.7968e-02,21.9688,0.335938,-8.27441,90.1172
-7.7960e-02,22.5078,-0.03125,-8.20996,89.9219
-7.7952e-02,22.0781,-0.15625,-8.08008,90.1562
-7.7944e-02,22.0938,-0.457031,-8.16797,90.1953
-7.7936e-02,22.1445,-0.09375,-8.15332,91.4648
-7.7928e-02,22.5547,0,-8.0293,90.2734
-7.7920e-02,22.3047,-0.109375,-8.01172,91.1719
-7.7912e-02,22.332,-0.015625,-8.02344,89.9219
-7.7904e-02,22.7461,-0.464844,-8.10254,90.1172
-7.7896e-02,22.3672,0.324219,-7.86914,90.1172
-7.7888e-02,22.8477,-0.375,-8.01172,88.8574
-7.7880e-02,22.8945,-0.09375,-7.9668,89.1113
-7.7872e-02,22.8984,-0.140625,-7.95313,89.2578
-7.7864e-02,22.9844,-0.0625,-7.83594,89.1797
-7.7856e-02,23.0742,0.015625,-7.84668,90.2344
-7.7848e-02,23.1211,-0.105469,-7.85254,90.3125
-7.7840e-02,23.1875,-0.078125,-7.88477,90.0391
-7.7832e-02,23.1484,-0.03125,-7.93555,90.0391
-7.7824e-02,23.5469,-0.046875,-7.87598,90.0781
-7.7816e-02,23.6133,-0.0625,-7.80176,90.0781
-7.7808e-02,23.3242,-0.09375,-7.76953,90.0781
-7.7800e-02,23.7539,-0.046875,-7.84961,90.1172
-7.7792e-02,23.4414,-0.105469,-7.6543,90.0391
-7.7784e-02,23.4609,-0.015625,-7.71484,90.1953
-7.7776e-02,23.4805,-0.046875,-7.80859,90.0781
-7.7768e-02,23.8945,-0.0625,-7.71875,90.2344
-7.7760e-02,24.3359,-0.449219,-7.69043,90.1562
-7.7752e-02,24.4023,-0.09375,-7.57715,90.2734
-7.7744e-02,24.0781,-0.09375,-7.47656,90.1953
-7.7736e-02,24.125,-0.046875,-7.65137,90.2051
-7.7728e-02,24.1758,0.015625,-7.57324,90.1953
-7.7720e-02,24.1562,-0.125,-7.46582,90.3125
-7.7712e-02,24.1836,0.363281,-7.48438,90.3516
-7.7704e-02,24.6328,0,-7.51563,90.9473
-7.7696e-02,24.6602,-0.101562,-7.59961,90.1172
-7.7688e-02,24.375,-0.121094,-7.37891,90.957
-7.7680e-02,24.7773,-0.136719,-7.37793,90.8496
