Wavelength,AKL,QDL,,,OFFSET:,Wavelength,Mit QDL,D QDL,,PHI Ref,D REF,Referenz,,Korrekturfaktoren
377,0.036169,16.982283,,,,765,0.889018,0.712557,,14978.680,2.978,1.780,,2.00273031592161
378,0.038376,16.928312,,,,770,0.847709,0.569526,,15071.270,2.872,1.723,,2.03207335300203
379,0.041454,17.031981,,,,775,0.781527,0.578011,,15164.620,2.665,1.602,,2.05024265316489
380,0.044703,17.190132,,,,780,0.704751,0.434981,,15254.460,2.417,1.458,,2.06949243065991
381,0.04686,17.34407,,,,,,,,,,,,
382,0.049745,17.50592,,,,,,,,,,,,
383,0.052727,17.694374,,,,,,,,,,,,
384,0.055587,17.850159,,,,,,,,,,,,
385,0.057575,17.987131,,,,,,,,,,,,
386,0.060872,18.237404,,,,,,,,,,,,
387,0.062957,18.327736,,,,,,,,,,,,
388,0.064824,18.513767,,,,,,,,,,,,
389,0.066981,18.70713,,,,,,,,,,,,
390,0.068387,18.845312,,,,,,,,,,,,
391,0.071394,19.438618,,,,,,,,,,,,
392,0.074181,20.079254,,,,,,,,,,,,
393,0.0768,21.101648,,,,,,,,,,,,
394,0.080169,22.314405,,,,,,,,,,,,
395,0.082084,23.322887,,,,,,,,,,,,
396,0.086885,25.130737,,,,,,,,,,,,
397,0.092557,27.0938,,,,,,,,,,,,
398,0.098569,29.237406,,,,,,,,,,,,
399,0.1032,30.845892,,,,,,,,,,,,
400,0.110375,33.492584,,,,,,,,,,,,
401,0.116921,36.849522,,,,,,,,,,,,
402,0.124678,42.925308,,,,,,,,,,,,
403,0.133042,53.822857,,,,,,,,,,,,
404,0.13726,62.825283,,,,,,,,,,,,
405,0.144605,77.693794,,,,,,,,,,,,
406,0.151539,89.725883,,,,,,,,,,,,
407,0.155951,94.394402,,,,,,,,,,,,
408,0.162957,93.276192,,,,,,,,,,,,
409,0.165891,89.655594,,,,,,,,,,,,
410,0.170181,83.496223,,,,,,,,,,,,
411,0.175976,78.186501,,,,,,,,,,,,
412,0.180896,74.524094,,,,,,,,,,,,
413,0.187612,71.815582,,,,,,,,,,,,
414,0.192072,70.32589,,,,,,,,,,,,
415,0.19932,68.182281,,,,,,,,,,,,
416,0.207418,66.121048,,,,,,,,,,,,
417,0.21532,64.890167,,,,,,,,,,,,
418,0.22526,64.593773,,,,,,,,,,,,
419,0.232776,64.996193,,,,,,,,,,,,
420,0.242738,66.382286,,,,,,,,,,,,
421,0.254812,68.769531,,,,,,,,,,,,
422,0.263732,70.920471,,,,,,,,,,,,
423,0.276751,74.050751,,,,,,,,,,,,
424,0.284873,76.376793,,,,,,,,,,,,
425,0.294326,78.89138,,,,,,,,,,,,
